add_Pregnancies,add_BloodPressure,add_Insulin,add_BMI,cluster0_count,cluster1_count,delta_cluster0_vs_base,accuracy,delta_accuracy_vs_base,function_value,feature_count
0,0,0,0,501,267,0,0.743490,0.000000,1,4
1,0,0,0,497,271,4,0.673177,-0.070312,0,5
0,1,0,0,472,296,29,0.718750,-0.024740,1,5
1,1,0,0,500,268,1,0.671875,-0.071615,0,6
0,0,1,0,480,288,21,0.661458,-0.082031,0,5
1,0,1,0,490,278,11,0.669271,-0.074219,0,6
0,1,1,0,475,293,26,0.667969,-0.075521,0,6
1,1,1,0,494,274,7,0.669271,-0.074219,0,7
0,0,0,1,408,360,93,0.661458,-0.082031,0,5
1,0,0,1,497,271,4,0.673177,-0.070312,0,6
0,1,0,1,392,376,109,0.648438,-0.095052,0,6
1,1,0,1,496,272,5,0.674479,-0.069010,0,7
0,0,1,1,477,291,24,0.660156,-0.083333,0,6
1,0,1,1,493,275,8,0.675781,-0.067708,0,7
0,1,1,1,461,307,40,0.654948,-0.088542,0,7
1,1,1,1,491,277,10,0.675781,-0.067708,0,8
