from_feature,to_feature,spearman_rho,alpha,beta,d_raw_train,d_model_train,improve_train,d_raw_test,d_model_test,improve_test,d_raw_full,d_model_full,p_ks_model_full
Pregnancies,Glucose,0.131434,149.20289,0.13569938,0.998371,0.659609,1.513580,0.974026,0.707792,1.376147,0.993490,0.669271,0.00000000
BloodPressure,Glucose,0.234926,52.87251,0.22768102,0.822476,0.584691,1.406685,0.714286,0.590909,1.208791,0.800781,0.582031,0.00000000
Insulin,Glucose,0.208885,208.8496,0.08285641,0.570033,0.524430,1.086957,0.616883,0.506494,1.217949,0.574219,0.513021,0.00000000
BMI,Glucose,0.231189,33.98363,0.38474931,0.993485,0.379479,2.618026,0.967532,0.441558,2.191176,0.988281,0.389323,0.00000000
Pregnancies,SkinThickness,-0.071385,0.44524616,1.39374010,0.667752,0.653094,1.022444,0.629870,0.616883,1.021053,0.657552,0.645833,0.00000000
BloodPressure,SkinThickness,0.127512,1.0498385e-05,2.33846445,0.926710,0.713355,1.299087,0.883117,0.668831,1.320388,0.917969,0.704427,0.00000000
Insulin,SkinThickness,0.547120,14.083655,0.85100097,0.462541,0.524430,0.881988,0.415584,0.467532,0.888889,0.451823,0.513021,0.00000000
BMI,SkinThickness,0.431679,1.1208297e-07,3.95168024,0.439739,0.713355,0.616438,0.435065,0.668831,0.650485,0.437500,0.704427,0.00000000
Pregnancies,DiabetesPedigreeFunction,-0.043873,0.44991118,0.08269044,0.786645,0.444625,1.769231,0.798701,0.461039,1.732394,0.789062,0.447917,0.00000000
BloodPressure,DiabetesPedigreeFunction,0.033150,0.23909971,0.13874083,0.964169,0.501629,1.922078,0.915584,0.448052,2.043478,0.954427,0.489583,0.00000000
Insulin,DiabetesPedigreeFunction,0.184988,0.55224074,0.05048979,0.524430,0.330619,1.586207,0.532468,0.357143,1.490909,0.513021,0.335938,0.00000000
BMI,DiabetesPedigreeFunction,0.139032,0.18264394,0.23445274,0.986971,0.475570,2.075342,0.980519,0.454545,2.157143,0.985677,0.471354,0.00000000
Pregnancies,Age,0.604044,34.325034,0.04187364,1.000000,0.485342,2.060403,1.000000,0.512987,1.949367,1.000000,0.490885,0.00000000
BloodPressure,Age,0.349816,24.921986,0.07025702,0.827362,0.548860,1.507418,0.818182,0.532468,1.536585,0.824219,0.545573,0.00000000
Insulin,Age,-0.094485,38.078563,0.02556754,0.482085,0.296417,1.626374,0.538961,0.370130,1.456140,0.493490,0.311198,0.00000000
BMI,Age,0.129228,21.744441,0.11872460,0.190554,0.535831,0.355623,0.194805,0.577922,0.337079,0.191406,0.544271,0.00000000
